Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,Status_encoded,approval_rate_1st,failure_rate_1st,approval_rate_2nd,failure_rate_2nd,grade_avg
1,17,5,171,1,1,122.0,1,19,12,5,9,127.3,1,0,0,1,1,0,20,0,0,0,0,0,0,0,10.8,1.4,1.74,Dropout,0,0.0,0.0,0.0,0.0,0.0
1,15,1,9254,1,1,160.0,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,0,6,0,0,6,0,13.9,-0.3,0.79,Graduate,1,0.9999998333333611,0.0,0.9999998333333611,0.0,13.833333333333332
1,1,5,9070,1,1,122.0,1,37,37,9,9,124.8,1,0,0,0,1,0,19,0,0,0,0,0,0,0,10.8,1.4,1.74,Dropout,0,0.0,0.9999998333333611,0.0,0.9999998333333611,0.0
1,17,2,9773,1,1,122.0,1,38,37,5,3,119.6,1,0,0,1,0,0,20,0,0,8,0,0,10,0,9.4,-0.8,-3.12,Graduate,1,0.9999998333333611,0.0,0.8333331944444675,0.16666663888889352,12.914285714285715
2,39,1,8014,0,1,100.0,1,37,38,9,9,141.5,0,0,0,1,0,0,45,0,0,9,0,0,6,0,13.9,-0.3,0.79,Graduate,1,0.8333331944444675,0.16666663888889352,0.9999998333333611,0.0,12.666666666666668
2,39,1,9991,0,19,133.1,1,37,37,9,7,114.8,0,0,1,1,1,0,50,0,0,10,0,0,17,5,16.2,0.3,-0.92,Graduate,1,0.99999980000004,0.0,0.99999980000004,0.0,11.678571428571429
1,1,1,9500,1,1,142.0,1,19,38,7,10,128.4,1,0,0,1,0,1,18,0,0,9,0,0,8,0,15.5,2.8,-4.06,Graduate,1,0.9999998571428775,0.0,0.9999998750000157,0.0,13.822500000000002
1,18,4,9254,1,1,119.0,1,37,37,9,9,113.1,1,0,0,0,1,0,22,0,0,5,0,0,5,0,15.5,2.8,-4.06,Dropout,0,0.0,0.99999980000004,0.0,0.99999980000004,0.0
1,1,3,9238,1,1,137.0,62,1,1,9,9,129.3,0,0,0,1,0,1,21,1,0,8,0,0,7,0,16.2,0.3,-0.92,Graduate,1,0.9999998333333611,0.0,0.9999998333333611,0.0,14.008928571428571
1,1,1,9238,1,1,138.0,1,1,19,4,7,123.0,1,0,1,0,0,0,18,0,0,9,0,0,14,0,8.9,1.4,3.51,Dropout,0,0.8333331944444675,0.16666663888889352,0.33333327777778704,0.6666665555555741,12.45
1,1,1,9670,1,1,139.0,1,38,19,5,7,130.6,1,0,0,1,0,0,18,0,0,6,0,0,7,0,13.9,-0.3,0.79,Graduate,1,0.9999998333333611,0.0,0.8333331944444675,0.16666663888889352,13.266666666666666
1,1,1,9500,1,1,136.0,1,19,38,9,9,119.3,1,0,0,1,0,1,18,0,0,8,0,0,8,0,12.7,3.7,-1.7,Graduate,1,0.8749998906250137,0.12499998437500197,0.8749998906250137,0.12499998437500197,13.214285714285714
1,1,2,9853,1,1,133.0,1,19,37,4,9,130.2,1,0,0,1,0,0,19,0,0,6,0,0,0,0,12.7,3.7,-1.7,Dropout,0,0.0,0.9999998333333611,0.0,0.9999998333333611,0.0
1,53,1,9254,1,42,110.0,1,1,1,4,7,111.8,1,0,0,1,0,1,21,0,0,7,0,0,8,0,8.9,1.4,3.51,Graduate,1,0.9999998333333611,0.0,0.8333331944444675,0.16666663888889352,10.785714285714285
1,1,1,9085,1,1,149.0,1,38,37,5,5,137.1,1,0,0,1,0,1,18,0,0,7,0,0,5,0,10.8,1.4,1.74,Graduate,1,0.799999840000032,0.199999960000008,0.99999980000004,0.0,12.625
